,loc_index,Province/State,Country/Region,Lat,Long,date,people,state
40,0,Anhui,Mainland China,31.8257,117.2264,3/2/20,6,D
81,0,Anhui,Mainland China,31.8257,117.2264,3/2/20,990,C
122,0,Anhui,Mainland China,31.8257,117.2264,3/2/20,917,R
163,1,Beijing,Mainland China,40.1824,116.4142,3/2/20,8,D
204,1,Beijing,Mainland China,40.1824,116.4142,3/2/20,414,C
245,1,Beijing,Mainland China,40.1824,116.4142,3/2/20,282,R
286,2,Chongqing,Mainland China,30.0572,107.874,3/2/20,6,D
327,2,Chongqing,Mainland China,30.0572,107.874,3/2/20,576,C
368,2,Chongqing,Mainland China,30.0572,107.874,3/2/20,469,R
409,3,Fujian,Mainland China,26.0789,117.9874,3/2/20,1,D
450,3,Fujian,Mainland China,26.0789,117.9874,3/2/20,296,C
491,3,Fujian,Mainland China,26.0789,117.9874,3/2/20,255,R
532,4,Gansu,Mainland China,36.0611,103.8343,3/2/20,2,D
573,4,Gansu,Mainland China,36.0611,103.8343,3/2/20,91,C
614,4,Gansu,Mainland China,36.0611,103.8343,3/2/20,85,R
655,5,Guangdong,Mainland China,23.3417,113.4244,3/2/20,7,D
696,5,Guangdong,Mainland China,23.3417,113.4244,3/2/20,1350,C
737,5,Guangdong,Mainland China,23.3417,113.4244,3/2/20,1059,R
778,6,Guangxi,Mainland China,23.8298,108.7881,3/2/20,2,D
819,6,Guangxi,Mainland China,23.8298,108.7881,3/2/20,252,C
860,6,Guangxi,Mainland China,23.8298,108.7881,3/2/20,192,R
901,7,Guizhou,Mainland China,26.8154,106.8748,3/2/20,2,D
942,7,Guizhou,Mainland China,26.8154,106.8748,3/2/20,146,C
983,7,Guizhou,Mainland China,26.8154,106.8748,3/2/20,114,R
1024,8,Hainan,Mainland China,19.1959,109.7453,3/2/20,5,D
1065,8,Hainan,Mainland China,19.1959,109.7453,3/2/20,168,C
1106,8,Hainan,Mainland China,19.1959,109.7453,3/2/20,151,R
1147,9,Hebei,Mainland China,38.0428,114.5149,3/2/20,6,D
1188,9,Hebei,Mainland China,38.0428,114.5149,3/2/20,318,C
1229,9,Hebei,Mainland China,38.0428,114.5149,3/2/20,296,R
1270,10,Heilongjiang,Mainland China,47.861999999999995,127.7615,3/2/20,13,D
1311,10,Heilongjiang,Mainland China,47.861999999999995,127.7615,3/2/20,480,C
1352,10,Heilongjiang,Mainland China,47.861999999999995,127.7615,3/2/20,356,R
1393,11,Henan,Mainland China,33.882020000000004,113.61399999999999,3/2/20,22,D
1434,11,Henan,Mainland China,33.882020000000004,113.61399999999999,3/2/20,1272,C
1475,11,Henan,Mainland China,33.882020000000004,113.61399999999999,3/2/20,1205,R
1516,12,Hubei,Mainland China,30.9756,112.2707,3/2/20,2803,D
1557,12,Hubei,Mainland China,30.9756,112.2707,3/2/20,67103,C
1598,12,Hubei,Mainland China,30.9756,112.2707,3/2/20,33934,R
1639,13,Hunan,Mainland China,27.6104,111.7088,3/2/20,4,D
1680,13,Hunan,Mainland China,27.6104,111.7088,3/2/20,1018,C
1721,13,Hunan,Mainland China,27.6104,111.7088,3/2/20,887,R
1762,14,Inner Mongolia,Mainland China,44.0935,113.9448,3/2/20,0,D
1803,14,Inner Mongolia,Mainland China,44.0935,113.9448,3/2/20,75,C
1844,14,Inner Mongolia,Mainland China,44.0935,113.9448,3/2/20,54,R
1885,15,Jiangsu,Mainland China,32.9711,119.455,3/2/20,0,D
1926,15,Jiangsu,Mainland China,32.9711,119.455,3/2/20,631,C
1967,15,Jiangsu,Mainland China,32.9711,119.455,3/2/20,543,R
2008,16,Jiangxi,Mainland China,27.614,115.7221,3/2/20,1,D
2049,16,Jiangxi,Mainland China,27.614,115.7221,3/2/20,935,C
2090,16,Jiangxi,Mainland China,27.614,115.7221,3/2/20,850,R
2131,17,Jilin,Mainland China,43.6661,126.1923,3/2/20,1,D
2172,17,Jilin,Mainland China,43.6661,126.1923,3/2/20,93,C
2213,17,Jilin,Mainland China,43.6661,126.1923,3/2/20,83,R
2254,18,Liaoning,Mainland China,41.2956,122.6085,3/2/20,1,D
2295,18,Liaoning,Mainland China,41.2956,122.6085,3/2/20,122,C
2336,18,Liaoning,Mainland China,41.2956,122.6085,3/2/20,103,R
2377,19,Ningxia,Mainland China,37.2692,106.1655,3/2/20,0,D
2418,19,Ningxia,Mainland China,37.2692,106.1655,3/2/20,74,C
2459,19,Ningxia,Mainland China,37.2692,106.1655,3/2/20,69,R
2500,20,Qinghai,Mainland China,35.7452,95.9956,3/2/20,0,D
2541,20,Qinghai,Mainland China,35.7452,95.9956,3/2/20,18,C
2582,20,Qinghai,Mainland China,35.7452,95.9956,3/2/20,18,R
2623,21,Shaanxi,Mainland China,35.1917,108.8701,3/2/20,1,D
2664,21,Shaanxi,Mainland China,35.1917,108.8701,3/2/20,245,C
2705,21,Shaanxi,Mainland China,35.1917,108.8701,3/2/20,216,R
2746,22,Shandong,Mainland China,36.3427,118.1498,3/2/20,6,D
2787,22,Shandong,Mainland China,36.3427,118.1498,3/2/20,758,C
2828,22,Shandong,Mainland China,36.3427,118.1498,3/2/20,460,R
2869,23,Shanghai,Mainland China,31.201999999999998,121.4491,3/2/20,3,D
2910,23,Shanghai,Mainland China,31.201999999999998,121.4491,3/2/20,337,C
2951,23,Shanghai,Mainland China,31.201999999999998,121.4491,3/2/20,292,R
2992,24,Shanxi,Mainland China,37.5777,112.2922,3/2/20,0,D
3033,24,Shanxi,Mainland China,37.5777,112.2922,3/2/20,133,C
3074,24,Shanxi,Mainland China,37.5777,112.2922,3/2/20,119,R
3115,25,Sichuan,Mainland China,30.6171,102.7103,3/2/20,3,D
3156,25,Sichuan,Mainland China,30.6171,102.7103,3/2/20,538,C
3197,25,Sichuan,Mainland China,30.6171,102.7103,3/2/20,386,R
3238,26,Tianjin,Mainland China,39.3054,117.323,3/2/20,3,D
3279,26,Tianjin,Mainland China,39.3054,117.323,3/2/20,136,C
3320,26,Tianjin,Mainland China,39.3054,117.323,3/2/20,111,R
3361,27,Tibet,Mainland China,31.6927,88.0924,3/2/20,0,D
3402,27,Tibet,Mainland China,31.6927,88.0924,3/2/20,1,C
3443,27,Tibet,Mainland China,31.6927,88.0924,3/2/20,1,R
3484,28,Xinjiang,Mainland China,41.1129,85.2401,3/2/20,3,D
3525,28,Xinjiang,Mainland China,41.1129,85.2401,3/2/20,76,C
3566,28,Xinjiang,Mainland China,41.1129,85.2401,3/2/20,66,R
3607,29,Yunnan,Mainland China,24.974,101.48700000000001,3/2/20,2,D
3648,29,Yunnan,Mainland China,24.974,101.48700000000001,3/2/20,174,C
3689,29,Yunnan,Mainland China,24.974,101.48700000000001,3/2/20,168,R
3730,30,Zhejiang,Mainland China,29.1832,120.0934,3/2/20,1,D
3771,30,Zhejiang,Mainland China,29.1832,120.0934,3/2/20,1206,C
3812,30,Zhejiang,Mainland China,29.1832,120.0934,3/2/20,1069,R
3853,31,,Thailand,15.0,101.0,3/2/20,1,D
3894,31,,Thailand,15.0,101.0,3/2/20,43,C
3935,31,,Thailand,15.0,101.0,3/2/20,31,R
3976,32,,Japan,36.0,138.0,3/2/20,6,D
4017,32,,Japan,36.0,138.0,3/2/20,274,C
4058,32,,Japan,36.0,138.0,3/2/20,32,R
4099,33,,South Korea,36.0,128.0,3/2/20,28,D
4140,33,,South Korea,36.0,128.0,3/2/20,4335,C
4181,33,,South Korea,36.0,128.0,3/2/20,30,R
4222,34,Taiwan,Taiwan,23.7,121.0,3/2/20,1,D
4263,34,Taiwan,Taiwan,23.7,121.0,3/2/20,41,C
4304,34,Taiwan,Taiwan,23.7,121.0,3/2/20,12,R
4345,35,"King County, WA",US,47.6062,-122.3321,3/2/20,5,D
4386,35,"King County, WA",US,47.6062,-122.3321,3/2/20,14,C
4427,35,"King County, WA",US,47.6062,-122.3321,3/2/20,1,R
4468,36,"Cook County, IL",US,41.8781,-87.6298,3/2/20,0,D
4509,36,"Cook County, IL",US,41.8781,-87.6298,3/2/20,4,C
4550,36,"Cook County, IL",US,41.8781,-87.6298,3/2/20,2,R
4591,37,"Tempe, AZ",US,33.4255,-111.94,3/2/20,0,D
4632,37,"Tempe, AZ",US,33.4255,-111.94,3/2/20,1,C
4673,37,"Tempe, AZ",US,33.4255,-111.94,3/2/20,1,R
4714,38,Macau,Macau,22.1667,113.55,3/2/20,0,D
4755,38,Macau,Macau,22.1667,113.55,3/2/20,10,C
4796,38,Macau,Macau,22.1667,113.55,3/2/20,8,R
4837,39,Hong Kong,Hong Kong,22.3,114.2,3/2/20,2,D
4878,39,Hong Kong,Hong Kong,22.3,114.2,3/2/20,100,C
4919,39,Hong Kong,Hong Kong,22.3,114.2,3/2/20,36,R
4960,40,,Singapore,1.2833,103.8333,3/2/20,0,D
5001,40,,Singapore,1.2833,103.8333,3/2/20,108,C
5042,40,,Singapore,1.2833,103.8333,3/2/20,78,R
5083,41,,Vietnam,16.0,108.0,3/2/20,0,D
5124,41,,Vietnam,16.0,108.0,3/2/20,16,C
5165,41,,Vietnam,16.0,108.0,3/2/20,16,R
5206,42,,France,47.0,2.0,3/2/20,3,D
5247,42,,France,47.0,2.0,3/2/20,191,C
5288,42,,France,47.0,2.0,3/2/20,12,R
5329,43,,Nepal,28.1667,84.25,3/2/20,0,D
5370,43,,Nepal,28.1667,84.25,3/2/20,1,C
5411,43,,Nepal,28.1667,84.25,3/2/20,1,R
5452,44,,Malaysia,2.5,112.5,3/2/20,0,D
5493,44,,Malaysia,2.5,112.5,3/2/20,29,C
5534,44,,Malaysia,2.5,112.5,3/2/20,18,R
5575,45,"Toronto, ON",Canada,43.6532,-79.3832,3/2/20,0,D
5616,45,"Toronto, ON",Canada,43.6532,-79.3832,3/2/20,17,C
5657,45,"Toronto, ON",Canada,43.6532,-79.3832,3/2/20,2,R
5698,46,British Columbia,Canada,49.2827,-123.1207,3/2/20,0,D
5739,46,British Columbia,Canada,49.2827,-123.1207,3/2/20,8,C
5780,46,British Columbia,Canada,49.2827,-123.1207,3/2/20,3,R
5821,47,"Orange, CA",US,33.7879,-117.8531,3/2/20,0,D
5862,47,"Orange, CA",US,33.7879,-117.8531,3/2/20,1,C
5903,47,"Orange, CA",US,33.7879,-117.8531,3/2/20,0,R
5944,48,"Los Angeles, CA",US,34.0522,-118.2437,3/2/20,0,D
5985,48,"Los Angeles, CA",US,34.0522,-118.2437,3/2/20,1,C
6026,48,"Los Angeles, CA",US,34.0522,-118.2437,3/2/20,0,R
6067,49,New South Wales,Australia,-33.8688,151.2093,3/2/20,0,D
6108,49,New South Wales,Australia,-33.8688,151.2093,3/2/20,6,C
6149,49,New South Wales,Australia,-33.8688,151.2093,3/2/20,4,R
6190,50,Victoria,Australia,-37.8136,144.9631,3/2/20,0,D
6231,50,Victoria,Australia,-37.8136,144.9631,3/2/20,9,C
6272,50,Victoria,Australia,-37.8136,144.9631,3/2/20,4,R
6313,51,Queensland,Australia,-28.0167,153.4,3/2/20,0,D
6354,51,Queensland,Australia,-28.0167,153.4,3/2/20,9,C
6395,51,Queensland,Australia,-28.0167,153.4,3/2/20,1,R
6436,52,,Cambodia,11.55,104.9167,3/2/20,0,D
6477,52,,Cambodia,11.55,104.9167,3/2/20,1,C
6518,52,,Cambodia,11.55,104.9167,3/2/20,1,R
6559,53,,Sri Lanka,7.0,81.0,3/2/20,0,D
6600,53,,Sri Lanka,7.0,81.0,3/2/20,1,C
6641,53,,Sri Lanka,7.0,81.0,3/2/20,1,R
6682,54,,Germany,51.0,9.0,3/2/20,0,D
6723,54,,Germany,51.0,9.0,3/2/20,159,C
6764,54,,Germany,51.0,9.0,3/2/20,16,R
6805,55,,Finland,64.0,26.0,3/2/20,0,D
6846,55,,Finland,64.0,26.0,3/2/20,6,C
6887,55,,Finland,64.0,26.0,3/2/20,1,R
6928,56,,United Arab Emirates,24.0,54.0,3/2/20,0,D
6969,56,,United Arab Emirates,24.0,54.0,3/2/20,21,C
7010,56,,United Arab Emirates,24.0,54.0,3/2/20,5,R
7051,57,,Philippines,13.0,122.0,3/2/20,1,D
7092,57,,Philippines,13.0,122.0,3/2/20,3,C
7133,57,,Philippines,13.0,122.0,3/2/20,1,R
7174,58,,India,21.0,78.0,3/2/20,0,D
7215,58,,India,21.0,78.0,3/2/20,5,C
7256,58,,India,21.0,78.0,3/2/20,3,R
7297,59,"London, ON",Canada,42.9849,-81.2453,3/2/20,0,D
7338,59,"London, ON",Canada,42.9849,-81.2453,3/2/20,1,C
7379,59,"London, ON",Canada,42.9849,-81.2453,3/2/20,1,R
7420,60,,Italy,43.0,12.0,3/2/20,52,D
7461,60,,Italy,43.0,12.0,3/2/20,2036,C
7502,60,,Italy,43.0,12.0,3/2/20,149,R
7543,61,,UK,55.0,-3.0,3/2/20,0,D
7584,61,,UK,55.0,-3.0,3/2/20,40,C
7625,61,,UK,55.0,-3.0,3/2/20,8,R
7666,62,,Russia,60.0,90.0,3/2/20,0,D
7707,62,,Russia,60.0,90.0,3/2/20,3,C
7748,62,,Russia,60.0,90.0,3/2/20,2,R
7789,63,,Sweden,63.0,16.0,3/2/20,0,D
7830,63,,Sweden,63.0,16.0,3/2/20,15,C
7871,63,,Sweden,63.0,16.0,3/2/20,0,R
7912,64,"Santa Clara, CA",US,37.3541,-121.9552,3/2/20,0,D
7953,64,"Santa Clara, CA",US,37.3541,-121.9552,3/2/20,9,C
7994,64,"Santa Clara, CA",US,37.3541,-121.9552,3/2/20,1,R
8035,65,,Spain,40.0,-4.0,3/2/20,0,D
8076,65,,Spain,40.0,-4.0,3/2/20,120,C
8117,65,,Spain,40.0,-4.0,3/2/20,2,R
8158,66,South Australia,Australia,-34.9285,138.6007,3/2/20,0,D
8199,66,South Australia,Australia,-34.9285,138.6007,3/2/20,3,C
8240,66,South Australia,Australia,-34.9285,138.6007,3/2/20,2,R
8281,67,"Boston, MA",US,42.3601,-71.0589,3/2/20,0,D
8322,67,"Boston, MA",US,42.3601,-71.0589,3/2/20,1,C
8363,67,"Boston, MA",US,42.3601,-71.0589,3/2/20,1,R
8404,68,"San Benito, CA",US,36.5761,-120.9876,3/2/20,0,D
8445,68,"San Benito, CA",US,36.5761,-120.9876,3/2/20,2,C
8486,68,"San Benito, CA",US,36.5761,-120.9876,3/2/20,0,R
8527,69,,Belgium,50.8333,4.0,3/2/20,0,D
8568,69,,Belgium,50.8333,4.0,3/2/20,8,C
8609,69,,Belgium,50.8333,4.0,3/2/20,1,R
8650,70,"Madison, WI",US,43.0731,-89.4012,3/2/20,0,D
8691,70,"Madison, WI",US,43.0731,-89.4012,3/2/20,1,C
8732,70,"Madison, WI",US,43.0731,-89.4012,3/2/20,0,R
8773,71,Diamond Princess cruise ship,Others,35.4437,139.638,3/2/20,6,D
8814,71,Diamond Princess cruise ship,Others,35.4437,139.638,3/2/20,705,C
8855,71,Diamond Princess cruise ship,Others,35.4437,139.638,3/2/20,10,R
8896,72,"San Diego County, CA",US,32.7157,-117.1611,3/2/20,0,D
8937,72,"San Diego County, CA",US,32.7157,-117.1611,3/2/20,2,C
8978,72,"San Diego County, CA",US,32.7157,-117.1611,3/2/20,1,R
9019,73,"San Antonio, TX",US,29.4241,-98.4936,3/2/20,0,D
9060,73,"San Antonio, TX",US,29.4241,-98.4936,3/2/20,1,C
9101,73,"San Antonio, TX",US,29.4241,-98.4936,3/2/20,0,R
9142,74,,Egypt,26.0,30.0,3/2/20,0,D
9183,74,,Egypt,26.0,30.0,3/2/20,2,C
9224,74,,Egypt,26.0,30.0,3/2/20,1,R
9265,75,,Iran,32.0,53.0,3/2/20,66,D
9306,75,,Iran,32.0,53.0,3/2/20,1501,C
9347,75,,Iran,32.0,53.0,3/2/20,291,R
9388,76,"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,3/2/20,0,D
9429,76,"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,3/2/20,0,C
9470,76,"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,3/2/20,0,R
9511,77,"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,3/2/20,0,D
9552,77,"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,3/2/20,0,C
9593,77,"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,3/2/20,0,R
9634,78,From Diamond Princess,Australia,35.4437,139.638,3/2/20,0,D
9675,78,From Diamond Princess,Australia,35.4437,139.638,3/2/20,0,C
9716,78,From Diamond Princess,Australia,35.4437,139.638,3/2/20,0,R
9757,79,"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,3/2/20,0,D
9798,79,"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,3/2/20,0,C
9839,79,"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,3/2/20,0,R
9880,80,,Lebanon,33.8547,35.8623,3/2/20,0,D
9921,80,,Lebanon,33.8547,35.8623,3/2/20,13,C
9962,80,,Lebanon,33.8547,35.8623,3/2/20,0,R
